Qual sua idade?,Qual é o seu gênero?,Antes de conhecer a MusicDot você tinha algum conhecimento musical?,Você tem uma matrícula ativa da MusicDot?,Você assina o plano Semestral ou Anual?,Você pediu para fazer um teste da MusicDot antes de se matricular?,Qual é o seu principal objetivo com aprendizagem musical? (Pode selecionar mais de uma opção),Qual dessas categorias te atraiu no 1º momento? (Pode selecionar mais de uma opção),Você está atualmente fazendo aulas de que instrumento?,Qual o nível do curso que você está fazendo?,Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Repertório],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Professor],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Exercícios],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Material de apoio],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Qualidade dos vídeos],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Didática],Como você avalia a variedade de estilos musicais para os cursos da MusicDot?,"Com relação aos recursos da MusicDot, que nota você daria para: [Acompanhamento dos professores pelo fórum]","Com relação aos recursos da MusicDot, que nota você daria para: [Tempo de resposta no fórum]","Com relação aos recursos da MusicDot, que nota você daria para: [Postar um vídeo ou áudio no fórum]","Com relação aos recursos da MusicDot, que nota você daria para: [Usar aplicativo da MusicDot]","Com relação aos recursos da MusicDot, que nota você daria para: [Download dos materiais das aulas]",Quais são os pontos negativos em se estudar na MusicDot?,Quais são os pontos positivos em estudar na MusicDot? ,"Em uma escala de 0 a 10, o quanto você recomendaria a MusicDot a um amigo(a) ou colega?",Qual a melhor forma de te avisarmos sobre novos lançamentos de cursos e funcionalidades da plataforma?,Quais foram as suas primeiras impressões em relação a MusicDot? (Pode selecionar mais de uma opção),O que te motiva acompanhar a MusicDot pelas redes sociais ? (Pode selecionar mais de uma opção),"Hoje se você fosse aprender algum instrumento musical, qual seria o principal objetivo ? (Pode selecionar mais de uma opção)",Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Preço],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Diversas opções de pagamento],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Suporte online para esclarecimentos de dúvidas],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Material impresso],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Acesso Vitalício],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Conteúdo dos cursos],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Didática],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Planos oferecidos],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Estilos musicais variados],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Reputação da escola],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Indicação de um amigo],Você sabia que existe a possibilidade de testar a MusicDot?,Você gostaria que a gente entrasse em contato pelo e-mail para oferecer um teste da MusicDot?,Qual plano você havia contratado?,Por quanto tempo ficou na plataforma?,Há quanto tempo você saiu da plataforma?,Porque você deixou de ser aluno da MusicDot? (Pode selecionar mais de uma opção),Gostaria de dar mais detalhes sobre sua saída?,Você estudaria novamente na MusicDot?,"Você gostaria que a gente entrasse em contato pelo e-mail para oferecer um teste da MusicDot, para você ver as novidades desde que saiu?","Em uma escala de 0 a 10, o quanto você recomendaria a MusicDot a um amigo(a) ou colega?.1",Como conheceu a MusicDot? (Pode selecionar mais de uma opção),Poderia dar mais detalhes de como conheceu a gente?,Você acompanha a MusicDot em alguma rede social ou meio? Qual? (Pode selecionar mais de uma opção),Você fez algum acampamento de música?,Quando fez o acampamento de música você já assinava a MusicDot?,Poderia falar pra gente o que te motivou a fazer o acampamento?,Quer deixar algum comentário final pra equipe da MusicDot?
de 55 a 64 anos,Homem,4,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,6 meses,Bem mais do que 1 ano,"Não tenho tempo para estudar, Não estou em condições financeiras no momento",Não,Sim,Não,9.0,Youtube,Através do YouTube,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,,
de 18 a 24 anos,Homem,3,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma escola de música online, É uma plataforma de cursos avulsos de música",Gosto de ficar por dentro das novidades do mundo musical,"Passatempo, Quero melhorar minhas habilidades musicais, Desejo dar aula um dia, Quero aprender teoria musical, Quero me profissionalizar na música",Alta,Média,Muito alta,Baixa,Baixa,Alta,Muito alta,Média,Alta,Muito alta,Baixa,Sim,Sim,,,,,,,,,Indicação de influenciadores / youtubers/ podcast,Átila do Nerdologia,Não acompanho em nenhum lugar,Sim,Não,,
Abaixo de 18 anos,Homem,0,Sim,Anual,Sim,Passatempo,"Violão, Guitarra",Guitarra,Intermediário,5 - Excelente,5 - Excelente,3,3,5 - Excelente,5 - Excelente,5.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,,,10.0,"""Sininho"" de avisos da plataforma, email (newsletter)",,,,,,,,,,,,,,,,,,,,,,,,,"Anúncios publicitários, Pelo Jovem nerd :)",Jovem Nerd,Instagram,Não,Não fiz o acampamento,,
de 18 a 24 anos,Homem,2,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,6 meses,Por volta de 1 ano,Não tenho tempo para estudar,"Contratei a ferramenta por 3 meses, mas quando a faculdade voltou vi que não tinha tempo de continuar estudando o instrumento com a plataforma",Sim,Sim,8.0,No podcast do hipsters,Ouvi um episódio sobre a plataforma e me interessei ,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,,
de 45 a 54 anos,Mulher,1,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar",Passatempo,"Piano, Violão, Baixo, Teoria",Baixo,Básico,4,5 - Excelente,4,3,5 - Excelente,4,4.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,4,O material de apoio poderia ser melhorado.,Não é presencial. As aulas são fáceis de acompanhar.,9.0,"""Sininho"" de avisos da plataforma",,,,,,,,,,,,,,,,,,,,,,,,,Youtube,,Youtube,Não,Não fiz o acampamento,,
de 25 a 34 anos,Homem,3,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar","Tocar/cantar na igreja, Quero melhorar minhas habilidades musicais","Baixo, Canto, Teoria",Baixo,Básico,4,5 - Excelente,5 - Excelente,4,5 - Excelente,5 - Excelente,5.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,,,10.0,"""Sininho"" de avisos da plataforma, Grupo de Telegram",,,,,,,,,,,,,,,,,,,,,,,,,Youtube,,Youtube,Não,Não fiz o acampamento,,
de 18 a 24 anos,Homem,3,Sim,Semestral,"Não, eu não sabia que havia a possibilidade de testar","Passatempo, Tocar/cantar na igreja, Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical, Aprender um novo estilo musical que não domino","Violão, Guitarra, Bateria, Canto, Teoria, Áudio",Violão,Intermediário,5 - Excelente,5 - Excelente,5 - Excelente,4,4,5 - Excelente,5.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,,Facilidade de acesso,10.0,"email (newsletter), Youtube da MusicDot, post no Instagram da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,Podcast,Gugacast,"Youtube, Instagram, Spotify / Podcast MusicDoters",Sim,Sim,Proposta diferenciada,Voltem com o music doters e façam acampamentos intermediários!
Abaixo de 18 anos,Homem,1,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma escola de música online","Quero aprender um instrumento musical, Quero aperfeiçoar o que já sei através dos conteúdos, Gosto de acompanhar alguns conteúdos produzidos","Passatempo, Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical, Quero me profissionalizar na música",Média,Média,Muito alta,Média,Baixa,Muito alta,Muito alta,Muito alta,Alta,Alta,Alta,Não,Sim,,,,,,,,,"Youtube, Instagram, Pesquisando no Google","Eu queria aprender a tocar baixo. Quando pesquisei aulas de baixo na internet e no YouTube, o site e o canal da musicdot foi o primeiro a aparecer para mim","Youtube, Instagram",Não,Não fiz o acampamento,,"Parabéns pela iniciativa, o que vocês fazem pelo aprendizado da música no Brasil é algo muito importante, além da ótima didática dos professores!! Apenas uma sugestão: pra assinar a musicdot, podemos selecionar apenas as opções de fazê-lo por 6 meses ou 1 ano. Poderiam haver opções mais curtas, como 3 meses, 2 meses ou até um mês. Isso seria bem legal!!"
de 35 a 44 anos,Homem,3,Sim,Anual,Sim,"Passatempo, Tocar/cantar na igreja","Teclado, Violão",Teclado,Intermediário,4,5 - Excelente,4,4,4,5 - Excelente,4.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,3,4,Melhorar a plataforma mobile,Alguns módulos estão muito bem explicados e praticos,9.0,"""Sininho"" de avisos da plataforma, email (newsletter), Grupo de Telegram",,,,,,,,,,,,,,,,,,,,,,,,,Pesquisando no Google,Pesquisa de cursos on line,"Youtube, Facebook",Não,Não fiz o acampamento,,Se possível ter os arquivos de exercícios em Midi. Principalmente os de teoria músical. Pois permite encontrar e assimilar as durações corretas das figuras rítmicas na partitura.
de 35 a 44 anos,Homem,3,Não,,,,,,,,,,,,,,,,,,,,,,,É uma escola de música online,Gosto de acompanhar alguns conteúdos produzidos,"Quero melhorar minhas habilidades musicais, Quero aprender teoria musical",Média,Média,Alta,Alta,Alta,Alta,Alta,Média,Média,Média,Alta,Sim,Sim,,,,,,,,,Youtube,Vendo YouTube,Youtube,Sim,Não,Os vídeos do YouTube,
